registerId,value,unit,measuredAt,device,profile,groupName
1-0:1.8.0*255,5236.038,kWh,,ISKIE076997,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5080.659,kWh,,ISKIE070741,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4647.562,kWh,,ISKIE076996,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,10131.172,kWh,,ISKIE070735,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3958.692,kWh,,ISKIE070711,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3710.824,kWh,,ISKIE070734,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2966.307,kWh,,ISKIE070847,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4381.279,kWh,,ISKIE070737,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3243.793,kWh,,ISKIE070710,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3574.502,kWh,,ISKIE076927,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4122.483,kWh,,ISKIE070869,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1219.563,kWh,,ISKIE070846,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,9535.205,kWh,,ISKIE070736,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,9156.176,kWh,,ISKIE070733,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4326.726,kWh,,ISKIE070845,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5498.488,kWh,,ISKIE070771,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2835.613,kWh,,ISKIE070749,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1186.932,kWh,,ISKIE070805,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,530.647,kWh,,ISKIE076911,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5647.232,kWh,,ISKIE076964,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,979.663,kWh,,ISKIE077195,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1256.5,kWh,,ISKIE077196,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,600.17,kWh,,ISKIE076905,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5831.72,kWh,,ISKIE077158,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6138.021,kWh,,ISKIE077155,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1167.557,kWh,,ISKIE076923,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2720.685,kWh,,ISKIE076924,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,137.9,kWh,,ISKIE070824,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4301.338,kWh,,ISKIE076963,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7670.791,kWh,,ISKIE076967,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5801.797,kWh,,ISKIE070706,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6497.956,kWh,,ISKIE077172,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1789.454,kWh,,ISKIE077188,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2002.086,kWh,,ISKIE077191,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3881.454,kWh,,ISKIE077119,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5763.231,kWh,,ISKIE070819,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5553.664,kWh,,ISKIE077189,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2166.67,kWh,,ISKIE077192,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2877.745,kWh,,ISKIE077121,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,5704.574,kWh,,ISKIE077118,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,1983.326,kWh,,ISKIE076975,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4841.519,kWh,,ISKIE070856,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,956.782,kWh,,ISKIE077148,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,3235.317,kWh,,ISKIE077157,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,17179.177,kWh,,ISKIE077162,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2487.907,kWh,,ISKIE077170,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7122.264,kWh,,ISKIE077154,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5959.448,kWh,,ISKIE077153,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1691.081,kWh,,ISKIE076906,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2605.015,kWh,,ISKIE070820,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3516.652,kWh,,ISKIE076907,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6501.816,kWh,,ISKIE077160,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2494.753,kWh,,ISKIE077046,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,11053.314,kWh,,ISKIE077045,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3931.702,kWh,,ISKIE077047,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3890.742,kWh,,ISKIE077265,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,5764.51,kWh,,ISKIE077197,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3291.89,kWh,,ISKIE070782,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,8530.298,kWh,,ISKIE077190,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,8150.864,kWh,,ISKIE077168,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,46.34,kWh,,ISKIE070826,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,794.868,kWh,,ISKIE077263,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4.507,kWh,,ISKIE077267,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2960.906,kWh,,ISKIE077266,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1063.763,kWh,,ISKIE077055,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3441.193,kWh,,ISKIE076910,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,765.409,kWh,,ISKIE076980,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2796.034,kWh,,ISKIE076982,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3849.499,kWh,,ISKIE076909,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2338.181,kWh,,ISKIE076978,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1764.446,kWh,,ISKIE076908,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2263.828,kWh,,ISKIE076979,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3360.584,kWh,,ISKIE076893,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,9441.17,kWh,,ISKIE076894,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,9503.45,kWh,,ISKIE076896,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6617.115,kWh,,ISKIE077057,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,9204.457,kWh,,ISKIE077053,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,9804.577,kWh,,ISKIE077043,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2626.177,kWh,,ISKIE077169,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3148.425,kWh,,ISKIE070781,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,556.418,kWh,,ISKIE070854,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3117.849,kWh,,ISKIE070818,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2625.661,kWh,,ISKIE077156,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,221.307,kWh,,ISKIE077203,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,3900.588,kWh,,ISKIE077204,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,271.332,kWh,,ISKIE076995,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,397.227,kWh,,ISKIE077207,1-0:98.1.0*255,Panchet Commercial
