registerId,value,unit,measuredAt,device,profile,groupName
1-0:9.8.0*255,1821.815,kVAh,,ISKIE077188,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2044.253,kVAh,,ISKIE077191,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3959.908,kVAh,,ISKIE077119,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6045.4,kVAh,,ISKIE070819,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5823.662,kVAh,,ISKIE077189,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2242.409,kVAh,,ISKIE077192,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2944.498,kVAh,,ISKIE077121,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,5815.637,kVAh,,ISKIE077118,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,2045.828,kVAh,,ISKIE076975,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4978.26,kVAh,,ISKIE070856,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,964.498,kVAh,,ISKIE077148,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,3296.836,kVAh,,ISKIE077157,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,17307.226,kVAh,,ISKIE077162,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2540.25,kVAh,,ISKIE077170,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,7264.306,kVAh,,ISKIE077154,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6163.808,kVAh,,ISKIE077153,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1713.392,kVAh,,ISKIE076906,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2676.871,kVAh,,ISKIE070820,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3766.201,kVAh,,ISKIE076907,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6978.966,kVAh,,ISKIE077160,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2600.78,kVAh,,ISKIE077046,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,11139.527,kVAh,,ISKIE077045,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4025.215,kVAh,,ISKIE077047,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4638.602,kVAh,,ISKIE077265,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,5936.611,kVAh,,ISKIE077197,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4138.903,kVAh,,ISKIE070782,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,8728.081,kVAh,,ISKIE077190,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,8426.025,kVAh,,ISKIE077168,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,46.908,kVAh,,ISKIE070826,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,796.369,kVAh,,ISKIE077263,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4.578,kVAh,,ISKIE077267,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3094.398,kVAh,,ISKIE077266,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1074.249,kVAh,,ISKIE077055,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3529.213,kVAh,,ISKIE076910,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,836.205,kVAh,,ISKIE076980,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2909.788,kVAh,,ISKIE076982,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3947.716,kVAh,,ISKIE076909,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2478.327,kVAh,,ISKIE076978,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1833.915,kVAh,,ISKIE076908,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2281.235,kVAh,,ISKIE076979,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3422.087,kVAh,,ISKIE076893,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9487.293,kVAh,,ISKIE076894,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9767.061,kVAh,,ISKIE076896,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6722.865,kVAh,,ISKIE077057,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9510.115,kVAh,,ISKIE077053,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,10429.315,kVAh,,ISKIE077043,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2672.027,kVAh,,ISKIE077169,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3294.882,kVAh,,ISKIE070781,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,571.135,kVAh,,ISKIE070854,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3193.698,kVAh,,ISKIE070818,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2674.768,kVAh,,ISKIE077156,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,224.584,kVAh,,ISKIE077203,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,4577.954,kVAh,,ISKIE077204,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,365.412,kVAh,,ISKIE076995,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,515.604,kVAh,,ISKIE077207,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,3397.99,kVAh,,ISKIE077097,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,301.965,kVAh,,ISKIE077145,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,213.299,kVAh,,ISKIE077151,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,1004.906,kVAh,,ISKIE076976,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,156.914,kVAh,,ISKIE077133,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,1985.182,kVAh,,ISKIE077134,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,1231.195,kVAh,,ISKIE077138,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,439.249,kVAh,,ISKIE077139,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,870.844,kVAh,,ISKIE077011,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,351.512,kVAh,,ISKIE077143,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,538.322,kVAh,,ISKIE077150,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,430.348,kVAh,,ISKIE077149,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,695.5,kVAh,,ISKIE077152,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,1713.089,kVAh,,ISKIE077008,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,1030.079,kVAh,,ISKIE077208,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,70.521,kVAh,,ISKIE077220,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,1103.244,kVAh,,ISKIE077218,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,900.856,kVAh,,ISKIE077205,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,4002.586,kVAh,,ISKIE076962,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,207.959,kVAh,,ISKIE076903,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,4564.887,kVAh,,ISKIE077012,1-0:98.1.0*255,Panchet Commercial
